t,plant,axis,C_exudated,GA,Growth,LAI_turgor,SAM_height,SAM_temperature,Total_Transpiration,Total_Transpiration_turgor,Tr,cohort,delta_plant_water_content,delta_teq,delta_teq_roots,green_area,mstruct,nb_leaves,plant_WC_DM,plant_water_content,res,senesced_mstruct,status,sum_TT,sum_respi_roots,sum_respi_shoot,teq_since_primordium,total_water_influx,xylem_water_potential
0,1,b'T1',NA,False,NA,NA,0,10.00000000,NA,NA,NA,4,NA,2883.20598615,2883.20598615,NA,NA,7,NA,NA,0.00000000,NA,vegetative,0.40044528,NA,NA,2883.20598615,NA,-0.11900251
0,1,b'T2',NA,False,NA,NA,0,10.00000000,NA,NA,NA,5,NA,2883.20598615,2883.20598615,NA,NA,6,NA,NA,0.00000000,NA,vegetative,0.40044528,NA,NA,2883.20598615,NA,-0.11900251
0,1,b'T3',NA,False,NA,NA,0,10.00000000,NA,NA,NA,6,NA,2883.20598615,2883.20598615,NA,NA,5,NA,NA,0.00000000,NA,vegetative,0.40044528,NA,NA,2883.20598615,NA,-0.11900251
0,1,b'T4',NA,False,NA,NA,0,10.00000000,NA,NA,NA,7,NA,2883.20598615,2883.20598615,NA,NA,4,NA,NA,0.00000000,NA,vegetative,0.40044528,NA,NA,2883.20598615,NA,-0.11900251
0,1,MS,0.00000000,False,0.00030323,0.00000000,0,10.00000000,NA,0.09367787,NA,1,0.00030165,2883.20598615,2883.20598615,0.00116948,0.05468138,10,90.17008529,0.50159384,0.00000000,0.00000000,vegetative,0.40044528,0.00100000,0.00000000,2883.20598615,0.09367630,-0.03367976
1,1,b'T1',NA,False,NA,NA,0,10.00000000,NA,NA,NA,4,NA,2883.20598615,2883.20598615,NA,NA,7,NA,NA,0.00000000,NA,vegetative,0.80089055,NA,NA,5766.41197231,NA,-0.11900251
1,1,b'T2',NA,False,NA,NA,0,10.00000000,NA,NA,NA,5,NA,2883.20598615,2883.20598615,NA,NA,6,NA,NA,0.00000000,NA,vegetative,0.80089055,NA,NA,5766.41197231,NA,-0.11900251
1,1,b'T3',NA,False,NA,NA,0,10.00000000,NA,NA,NA,6,NA,2883.20598615,2883.20598615,NA,NA,5,NA,NA,0.00000000,NA,vegetative,0.80089055,NA,NA,5766.41197231,NA,-0.11900251
1,1,b'T4',NA,False,NA,NA,0,10.00000000,NA,NA,NA,7,NA,2883.20598615,2883.20598615,NA,NA,4,NA,NA,0.00000000,NA,vegetative,0.80089055,NA,NA,5766.41197231,NA,-0.11900251
1,1,MS,0.00000000,False,0.00018736,0.00000000,0,10.00000000,0.00176012,0.11400091,NA,1,0.00018742,2883.20598615,2883.20598615,0.00116991,0.05486365,10,90.17034354,0.50160846,0.00000000,0.00000000,vegetative,0.80089055,0.33134232,1.37306301,5766.41197231,0.11400097,-0.03706303
2,1,b'T1',NA,False,NA,NA,0,10.00000000,NA,NA,NA,4,NA,2883.20598615,2883.20598615,NA,NA,7,NA,NA,0.00000000,NA,vegetative,1.20133583,NA,NA,8649.61795846,NA,-0.11900251
2,1,b'T2',NA,False,NA,NA,0,10.00000000,NA,NA,NA,5,NA,2883.20598615,2883.20598615,NA,NA,6,NA,NA,0.00000000,NA,vegetative,1.20133583,NA,NA,8649.61795846,NA,-0.11900251
2,1,b'T3',NA,False,NA,NA,0,10.00000000,NA,NA,NA,6,NA,2883.20598615,2883.20598615,NA,NA,5,NA,NA,0.00000000,NA,vegetative,1.20133583,NA,NA,8649.61795846,NA,-0.11900251
2,1,b'T4',NA,False,NA,NA,0,10.00000000,NA,NA,NA,7,NA,2883.20598615,2883.20598615,NA,NA,4,NA,NA,0.00000000,NA,vegetative,1.20133583,NA,NA,8649.61795846,NA,-0.11900251
2,1,MS,0.00000000,False,0.00018150,0.00000000,0,10.00000000,0.00143176,0.09284211,NA,1,0.00018152,2883.20598615,2883.20598615,0.00117028,0.05496814,10,90.14192594,0.50000486,0.00000000,0.00000000,vegetative,1.20133583,0.31567464,1.23500803,8649.61795846,0.09284213,-0.03779054
